,name,rating,date,upvotes,review
0,Kebab,1,"January 25, 2020",1,"Gathers location info while in the background, this program doesnt need to run in the background at all"
1,A Google user,4,"October 19, 2019",3,Hasn't been updated in a long time (although information in the app is still up-to-date)
2,OdinDva Zritel,3,"September 6, 2019",6,"Getting obsolete - there are new bus companies, which are missing"
3,TENS GROEN,5,"June 10, 2020",0,Om over naar huis te schrijven.
4,Huib,4,"October 4, 2019",1,"De favorites functie is erg handig, dan hoef je niet constant die moeilijke naam te zoeken. Jammer genoeg kan je alleen een heel station favoriten, en bij grote stations erge chaos hebt."
5,Andre Engels,5,"March 9, 2018",12,Compleet en actueel overzicht van het OV waar je bent of waar dan ook elders in Nederland. Een aanrader voor elke OV-gebruiker.
6,KevinKefje,4,"February 18, 2019",4,Zeer fijne app met eigenlijk alle informatie die je nodig hebt. Mooi overzicht van lijnen per halte mogelijk. Zou het helemaal top vinden als je een specifieke lijn bij een bushalte als favoriet zou kunnen toevoegen ipv heel de halte.
7,Matteo Calabrò,2,"March 10, 2018",2,"Good timetable but intrusive ads and ""add shortcut"" functionality is broken on Android 8.0 (Xperia XZ1, tried different launchers)"
8,Warden Potato,5,"June 9, 2018",3,"Zeer snelle app met een favoriet functie, hierdoor kan ik zeer snel mijn 
tijden checken. Zeker een aanrader voor iedereen die reist het met ov in 
nederland."
9,ab c,1,"July 12, 2018",14,"Ik vind het vervelend dat je maar voor het komend anderhalf uur de 
vertrektijden kan zien. Ik dus nooit de avond van te voren al kijken 
wanneer ik s' ochtends weg wil gaan"
10,847636728392,5,"November 21, 2018",2,"Geweldig. Een dingetje: als er bij een vertraging iets staat van ""14:37 + 48"" kan de app dan ook zelf even het rekensommetje uitwerken en ""=15:25"" erbij zetten? Zou veel overzichtelijker zijn :)"
11,pyrowim1,5,"January 9, 2019",0,"De app getest met de voorlaatste bus en kortom ""freaking nice"".. goede locatie aanduiding met wat tolerantie en nu weet ik waar ik aan toe ben.. hou de app bij, goed bezig.."
12,IJsko Librietje,5,"January 21, 2019",0,"veel sneller en eenvoudiger dan 9292 of de ns app, je moet alleen wel van tevoren je route weten."
13,Chris Roossien,1,"February 15, 2018",3,contains ads
14,Rowan Paul,4,"April 29, 2018",0,Goede en accurate informatie in een handige lay-out
15,Lucas Saliba,5,"February 11, 2018",2,"Very Nice, it works"
16,Niels,5,"April 11, 2018",0,"Great, many times better than 9292"
17,A Google user,4,"January 9, 2019",0,Good info
18,Sergej van Holland,3,"September 2, 2017",8,Voeg een reisplanner functie in net als bij 9292 en deze app is een must have vervanging voor 9292. Nu heb je alsnog beide apps nodig.
19,Chris Dart,5,"September 22, 2017",1,"I earlier reported that it was not working on Network. It is now working on both but very, very slow to update."
20,Anca Buit,4,"July 11, 2017",4,"Fijn overzicht, maar ik zou graag een filterfunctie hebben, en dan een combinatie van lijnen en richting bij een halte kunnen opslaan in favorieten."
21,A Google user,5,"November 8, 2017",1,Oprecht mijn favoriete app. Ik geniet er enorm van om deze info te kunnen zien
22,A Google user,5,"June 28, 2017",3,Up-to-date to the minute. Nice for checking for delays.
23,A Google user,1,"July 12, 2017",1,Cant use it doesnt work
24,Theo Willemse,5,"May 30, 2017",1,"This app is awesome! You'll need to know what line you need, but if you use it for example to get to work... It's perfect! Great work and keep it up 👍"
25,Stan J,5,"June 3, 2017",1,Great app
26,A Google user,5,"March 13, 2017",1,"Great app! Been using it for years, even delays are very accurate too bad the app can't prevent them from happening in Amsterdam ;)"
27,Cenon Del Rosario,1,"April 13, 2017",3,What use is this if it cannot tell you how to get to your destination?
28,Matthijs Tadema,5,"February 22, 2017",1,Fantastic app. Saved me from missing a bus more times than I can count
29,Tim Peree,5,"April 22, 2017",0,Geweldig!
30,Rudolf Berends,5,"February 28, 2017",1,Beste app for on the move.
31,Ioannis Panagiotopoulos,5,"February 1, 2017",2,Very handy for public transport in  Netherlands. Simple and practical
32,Jan Wierenga,5,"March 21, 2017",0,Very good for using public transport in the Netherlands. VERY accurate
33,Wim Damen,5,"January 9, 2017",6,Excellent
34,Bruno Langelaan,5,"December 27, 2016",3,Goed en nu beter met storingen
35,A Google user,5,"December 13, 2016",3,Very good
36,Christian Peper,5,"December 8, 2019",2,Nu data breder beschikbaar komt en de positie van bus en tram per GPS doorgegeven wordt is deze app uitstekend! Kun je kunt waar de bus is gestopt en nu onderweg is. ETA is brilliant.
37,A Google user,4,"October 16, 2016",2,"Heel goed, maar het kan nog beter met widgets"
38,Laura Gabriella,5,"June 7, 2016",8,Wauw!
39,John Smith,4,"October 14, 2016",2,Werkt prima!
40,Bas H,3,"April 11, 2016",3,Mis de widgets op android 6.0.1 :(
41,Kiran K,2,"October 25, 2016",1,Timings shown do not match
42,Yassine Gherbi,5,"September 4, 2016",0,Top!
43,Alex,5,"March 10, 2016",1,Is mis in deze versie wel de seconden bij de tijd. Komen die nog terug? - edit- terug als optie 👍
44,Rob van der Most,3,"October 31, 2016",0,Betere info dan de ns
45,janine S,4,"May 24, 2016",0,"Handige app, vooral om te zien of de bus al geweest is, of iets te laat. Alleen jammer dat werkzaamheden(waardoor een halte vervalt) niet meegenomen worden."
46,Amal Kwizera,4,"January 6, 2017",0,Heel goed
47,Verousjka Frisia,5,"October 5, 2016",1,Ideale app
48,Jelmer Veenstra,5,"September 24, 2016",0,"Clear, complete, fast, small and good looking"
49,Corbin Poticha,4,"January 17, 2016",9,"Better than 9292OV, Google Maps, or Amsterdam's GVB app. While it's still nice to be able to ""favorite"" a stop, it'd be nice to also be able to tag a tram-/metro line or bus as a favorite. This would allow one, when standing at a stop along one's favorite line,  to see the status along that line in fewer clicks than having to navigate the ""lines"" menu."
50,Mark Ding,4,"January 29, 2016",9,Bijna perfect
51,Ralph Kleinveld,5,"January 20, 2016",6,Geweldige app.
52,S. Wu,3,"February 18, 2016",1,Deze versie ziet er wat gelikter uit ten opzichte van de bètaversie. Hoeft niet per se pluspunt te zijn. Het gebruiksgemak heeft namelijk wel wat ingeleverd. De haltes waren in de bètaversie net wat sneller en/of makkelijker te vinden. Terwijl ik in deze versie al vaak haltenamen niet heb kunnen vinden.
53,Dewi Cadat,5,"February 11, 2016",1,Geweldig app!
54,Youri S,3,"January 17, 2016",1,"Routes plannen zou erg handig zijn,dan is 9292 niet meer nodig."
55,AquilaSol,5,"March 8, 2016",2,Super handig! (Vooral nu ik de nachtmodus heb gevonden! :))
56,Simon Henkes,5,"March 4, 2016",1,Top
57,Kale,4,"January 28, 2016",1,"Very good app, but slow."
58,christopher osei-tutu,4,"January 18, 2016",0,It now improved
59,A Google user,5,"December 28, 2015",2,Nieuw design nog beter!
60,Jordi Agricola,5,"December 27, 2015",1,Top!
61,M. Spoor,5,"January 7, 2016",0,The best
62,A Google user,5,"December 25, 2015",1,Awesome!
63,akinaide tensaku,3,"December 29, 2015",2,"De oude versie is wat overzichtelijker. Jammer, maar hiermee moet ik het maar mee doen."
64,A Google user,5,"January 6, 2016",0,De beste ov app
65,J.W K,5,"January 4, 2016",0,Geweldige app!
66,ben van klingeren,5,"January 7, 2016",0,Beste OV app die er is
67,Wietze Visscher,5,"December 30, 2015",0,Prima update! Veel overzichtelijker. Ik gebruik deze tool meerdere keren per dag om de actuele vertrektijden van de door mij gebruikte bussen te checken.
68,Caoimhin,5,"December 27, 2015",1,Werkt perfect!
69,Daniel,5,"January 16, 2016",0,Waneer komt hij uit voor de iPhone? Echt een top app namelijk!
70,A Google user,5,"December 26, 2015",1,Fantastisch!
71,Donald,5,"December 29, 2015",0,Beste OV app
72,Koen Hendriks,5,"December 28, 2015",0,Nice
73,Louis Matthijssen,5,"December 29, 2015",0,Plausibel
74,Monique de Vos,5,"December 11, 2015",1,Stress-saver
75,Paul Kemper,5,"November 16, 2015",1,Goed nagedacht
76,Arin Roy,5,"October 23, 2015",0,The travel app to save time
77,Bubo Damen,5,"November 11, 2015",0,Fantastische app
78,Sourabh Rathi,5,"October 21, 2015",0,Great app
79,Sven Berkvens-Matthijsse,5,"July 13, 2015",0,Erg handig
80,David Hsueh,4,"September 1, 2015",0,Veel nauwkeuriger dan 9292
81,Remco ohw,5,"October 12, 2015",0,"Beste ov app, volgens mij."
82,Martin Vrieling,4,"July 1, 2015",0,Very usefull
83,Marcel XL,5,"October 6, 2015",0,Good to have this kind of real-time information while traveling by bus
84,Mohamed Elmi,5,"July 16, 2015",0,Great
85,Alexander F Bo,4,"April 30, 2015",2,ideas
86,Micha van Wijngaarden,3,"April 19, 2015",2,Useful but missing features
87,Venkatesh S,5,"April 16, 2015",0,Best public transport app ever
88,Roger Berntsen,4,"April 20, 2015",0,Handig
89,hfd hj,4,"June 21, 2015",0,Nu nog een reisplanner en dan kan hier niks tegen op!
90,Felix Mann,5,"March 16, 2015",0,Geweldige app
91,Rutger Groot,5,"April 9, 2015",0,Super
92,David Valentine,4,"March 19, 2015",0,Great
93,Steef Min,5,"December 22, 2014",1,Beste app voor ov tijden in Nederland
