,name,rating,date,upvotes,review
0,VÃ­ctor LÃ³pez,5,"January 14, 2019",7,It's a great app for knowing the bus routes and the remaining time for the bus on every bus stop. The thing I like the most is the interface.
1,Victoria Zinyk,5,"February 6, 2019",4,"Great app, very precise and works perfectly without any errors"
2,Jordi Tierra,5,"January 20, 2019",3,"Fixed the problem with advertising, excellent application for bus"
3,Agnes Agnes,5,"February 28, 2019",0,love it! helps move around townðŸ˜‰ðŸ˜‹ðŸ‘
4,PUBG WABG,5,"September 26, 2019",0,experience was great i love this app thanks
5,amish sethi,5,"January 31, 2019",0,on point for bus timing
6,Esteban Chacon,5,"February 27, 2019",0,very good app to travel in Barcelona
7,Lion Heart,5,"September 25, 2019",0,Excellant .love to use this
8,Joan SolÃ ,4,"May 3, 2019",0,"Molt prÃ ctica . De vegades la info no es correcta, pero normalment si"
9,Xaxo Bye,5,"February 17, 2020",0,Es perfecta para no perder el tiempo esperando el bus
10,leticia baig lopez,5,"September 13, 2019",0,Ãštil y precisa
11,Anonim,5,"October 5, 2019",0,It works fantastic Thanks Eduard
12,JAVIER MONTANE,5,"March 30, 2019",0,Muy bien
13,Mr Jee,5,"June 11, 2019",0,Funciona perfectamente
14,DIMITRA-MARIA KASIMI-STRIMENOPOULOU,5,"March 10, 2019",0,Very accurate!
15,Nur C,5,"August 8, 2019",0,It works perfectly
16,Aguila Roja,5,"April 25, 2020",0,Excellent work ðŸ‘ðŸ‘ðŸ‘
17,E. ChÃ¡vez-Ãngel,5,"June 15, 2019",0,Great
18,joan corbella,5,"January 7, 2019",0,se cumplen los horarios que indica esta aplicacion y para mi ya es suficiente
19,Ishamu Joseph Sakibou,5,"November 28, 2018",0,Awesome
20,A Google user,4,"July 23, 2017",16,Bus (B23) did not show thier arrivel time always show no data.... some times bus not arrive for 1 hour we wait ther like fools if show arrivel time then its better for us our time wont waste... if there is not data about B23 then why bus on road?
21,A Google user,3,"September 27, 2016",18,Bus V15
22,Raquel Ros,4,"August 15, 2017",5,"Nice a simple app to get info on buses. Would be nice to be able to search for a bus line to get the route directly, rather than having to navigate to a stop and then get the route."
23,David PÃ©rez,4,"November 18, 2016",7,"La publicidad da bastante por saco donde estÃ¡ puesta, pero por todo lo demas es imprescindible en bcn."
24,Juan Pablo Viera,4,"January 5, 2018",0,"It is a great tool and works perfect most of the time but sometimes it does not show the right timings, maybe not a problem with the app itself but the schedules/timing provider"
25,Dani PÃ©rez Ãlvarez,1,"December 13, 2016",3,Una aplicaciÃ³n tiene que estar especialmente mal programada para que ralentice mi Nexus 5. Ã‰sta me lo bloquea. Evitadla a toda costa.
26,Lena T,4,"October 18, 2016",2,If the server works
27,vÃ­ctor sagristÃ¡ lÃ³pez,1,"August 6, 2018",0,"SolÃ­a ir muy bien pero ahora es de broma. Por ejemplo, llevo 10 minutos 
esperando un bus que pone ""inminente"", en fin. Una lÃ¡stima que ya no sea 
fiable"
