,name,rating,date,upvotes,review
0,Jack Barrett,5,"October 31, 2018",6,"VERY good app. But there are 3 things. If you can't connect to their API it's gonna say no info available. Even when it works soon after the refresh button in app just does nothing. Only when I reopen it works. The other thing is ""expected delays"" should be shown in app. Also option to change between ""minutes left"" and exact time will be nice."
1,BluInstinct,4,"December 5, 2018",2,"Very good app, needs to start showing RTI for the bus routes GoAhead have taken over though, I mainly use the 17a and now I can't check real time for it. The TFI app is useless so depending on this one"
2,Paulo Lush Imports,2,"February 13, 2019",6,"if it worked would be really handy, but it just doesnt, no matter if im with 4G or right beside a wifi router. keeps giving error. FIX IT PLEASE, as it could be really handy"
3,Daniel Howard,1,"June 7, 2019",3,The latest version won't work. App keeps crashing upon opening it.
4,Paddy Smith,1,"June 7, 2019",2,Latest update (1.5.7) completely breaks the app. Crashes on start up and will not open
5,A Google user,1,"March 28, 2019",2,"absolutely innacurate, I was trusting this app till I lost the bus twice in two days and had to take a taxi. cant trust it anymore. uninstalled already"
6,Michal Bohucky,5,"March 31, 2019",6,"Best Dublin bus app! Favourites, history, near stops. Works flawlessly! Great design. Good job guys!"
7,Hadobás Martin,5,"June 7, 2019",0,"After thr update, the app works again perfectly."
8,Craig Lewis,2,"December 6, 2018",0,Works at first but then fails. Uninstalled
9,Sushant Singhal,3,"November 9, 2018",0,Maps don't load for One Plus 6
10,Eder Souza,1,"June 7, 2019",1,after update is not working anymore
11,A Google user,5,"November 8, 2018",1,Excellent real time information
12,Katie Pike,4,"April 18, 2019",0,very useful for travelling in Dublin
13,Janet N,5,"June 7, 2019",0,all the functions i need are in it. reliable app
14,Margaret Nolan,1,"June 7, 2019",1,I can't open my app for Dublin bus real time what can I do
15,stefano bolonheza,1,"December 11, 2018",9,app slower than the junkies running away from garda at o'connel
16,ziad ouafi,5,"January 6, 2019",3,This is a great app but would love to get the favourites so I can reorder them
17,Omar Lasebai,1,"February 7, 2019",1,useless.
18,Ana,1,"April 2, 2019",1,useless
19,Andrea Avesani,4,"August 8, 2018",6,"Still not perfect but thousands times better than the official one! The 
response is slow sometimes but, again, not comparable with the issues I had 
with the official one. Well done to the devs!"
20,Mikele F,5,"July 25, 2018",7,"Way better than the official app: ligther, better looking and with some 
extra features. Great job!!!"
21,Irish Man,3,"September 9, 2018",6,Go-Ahead routes should also be added
22,Darragh Gibson,5,"May 30, 2019",0,whopper
