,name,rating,date,upvotes,review
0,Bjorn Thegeby,1,"May 20, 2020",1,It activated all four tickets of a four-ticket purchase at once. I would like to give it a better rating but that has to be fixed!
1,Robin C,5,"June 12, 2020",0,Fantastic and easy to use!
2,Glenn Dobbelaere,1,"January 20, 2020",9,"In Berlin it apparently is only possible to pay your ticket on the tram with change, bills are not accepted by the machine. Why!? We did not have enough change and could not buy a ticket beforehand because it was a small stop without machine. I installed this app to try and buy tickets. I could not find how to buy multiple tickets at the same time, so I tried to buy them separately. When selecting PayPal as payment method, it required me to install Chrome Browser. Why!? We did not buy tickets."
3,Max M.,5,"June 3, 2020",0,"Stable performance on my phone (Samsung Galaxy S7). Useful features, continuous development and updates."
4,Simon Paag,4,"March 31, 2020",7,"It's a decent app. Don't get med wrong, it's not my favorite app, but hey it's a transport app. Not like the new tinder or anything like that, therefore 4 stars."
5,Spiros Daoudakis,3,"December 25, 2019",9,The application is very good but is missing one very useful feature. When you want to purchase a ticket you cannot set the validity time and you are forced to book the tickets a few minutes before you travel and not in advance.
6,mrow,2,"October 17, 2019",27,"I use this app every day. The basic functionality works well, but it is very frustrating that the found routes in the Trip Planner always disappear when the app is closed for a while or when displaying a ticket. I often want to look up at which station I have to change (and on which platform I have to go for the connection, etc.) while I'm on a bus or train already, and it's always gone and I have to repeat the search, which then shows different results because it's a later time. please fix :("
7,Benedict Kalus,2,"April 19, 2019",21,"To start on a positive note, the app is more reliable than Google maps, which is absolutely rubbish in Berlin. However, the BVG app is also pretty useless when you need realtime information, e.g. when services on an underground line are cut. In that case, it showed me, that I should take the line without service with a little warning triangle that trains are actually not going without telling me what actually is going. In general, the app also suggested itenaries with unnecessarily long walks."
8,Christopher Till,2,"September 17, 2018",9,"For the last year I've been using app fine. Last 2 weeks, I've had pre bought tickets magically activate. And missed several s bahns due to connection time out. The one occasion I took the gamble, a ticket inspector took pitty on me after saying there are lots of problems at the moment. Gone old fashioned until the issue is resolved"
9,Roberto Arias Alegria,1,"September 19, 2018",11,"Incorrect charges due to a glitch in their systems and on top of that they want to charge late payments 😡 Put your act together BVG, that never happens in the Apps of major cities. For other users: be careful and try to use pre-paid cards with limited credit. BVG might try to charge you randomly later a then it'll be up to you to fight this with the bank."
10,Katarzyna Bednarz,1,"September 19, 2018",17,"The app is absolut rubbish in the last week or so- l've been charged twice the double amount on the same purchases of a 4-Trip ticket and a 4-short-trip ticket. When I recalled the charges through my bank, I fast immediately got an invoice from Logpay with an invoice for the incorrect amount plus almost 10€ of late fees to pay and my account has been blocked for further usage...! also, they have already charged the correct amounts on another day, so I guess I owe them nothing and i received a vague email from BVG apologising and telling that they are sorry for the technical issues and double bookings, and all is good now, but my account is still blocked and unusable!!!"
