,name,rating,date,upvotes,review
0,Damian,1,"February 18, 2020",1,"What an absolute mess. At least if you're going to tell me that I'm able to reserve a ticket for a specific time, don't tell me at the very end that the time the ticket is valid for is 360 minutes?! I mean, this really borders on fraudulent misrepresentation. I'm hoping to divert other people from considering and downloading this app and evidently being scammed out of around 20 € like I have."
1,Chris Gard,1,"March 7, 2020",0,"Buggy as hell. Entering credit card number adds random numbers, giving you 40 digits of nonsense."
2,J Scott MARCUS,3,"January 17, 2020",1,Sale of tickets does not work properly. Not possible to pay for them.
3,kostas goutsi,2,"May 9, 2020",0,No English language support
4,K Krenz,1,"December 22, 2019",2,"Has often issues connecting to the server and route search doesn't show results, while all other apps and 4G reception works fine. Missed a couple of trains, due to this. Also doesn't accept Apple, Google or Pay pal as payment options; only Euro based bank accounts. Do not recommend!"
5,Onse Nguyen-Flai,1,"December 30, 2019",0,Bought 1 Ticket and was billed 2 for no apparent reason. A friend of mine had a similar experience. 10% off of ticket prices is a joke when you get billed 12.73€ randomly and have to fear that this will happen again any time soon.
6,MINH PHUNG DO,2,"October 1, 2019",0,I had wanted to buy a ticket for the train 7:55 1/10/2019 but the problem is the valid time for ticket is not right. After the successful payment the ticket is valid from 6:35-9:35. The living time for a ticket must be valid from the moment I chose and that means 180 minutes from 7:55. Yesterday I had bought one ticket valid from 21:27 to 0:27 i thought that was my fault when not checking the desired time carefully. But this is the system error. Please fix it.
7,Boris Guskee,1,"September 6, 2019",0,"Unusable for tourists. At a vending machine you select the ticket you want, put money in, and a ticket comes out. This mess of an app also wants you to have an address in Germany, know when you were born, and wants you to have a credit card registered under a German address. Go to the vending machine."
8,A Google user,2,"January 10, 2019",0,"Convenient when it works, penalty when it doesn't. I have tried using this with a credit card, but it eventually stops working and I get demands in the mail that I pay fees for missed charges. I try to change the payment method to another card, or to my bank account, to no avail."
9,Kevin Winters,1,"October 11, 2019",0,App will not let me add a payment method to my account. Tried a debit card and two different credit cards. All have been denied. They offer a 10% saving when purchasing a Handy ticket... But it won't let you purchase one! Horrible!
10,A Google user,1,"March 5, 2019",1,Do not use! many connections missing it is misleading. S19 Messe Deutz to airport usually not shown at all! And now you're asking for more concrete example. What a nonsense can't you read: S19 is not shown in the options!
11,Adrian Kind,5,"September 27, 2018",2,Great for looking up your connection. Always has up to date info on delays and construction sites!
12,Mingyi ZHANG,1,"October 2, 2018",0,Handy ticket just works once... Rubbish
13,Pascal Maahs,2,"May 29, 2020",0,Keine Möglichkeit via DKB (Kredit oder SEPA) zu zahlen. Kann aber auch an der DKB liegen.
14,Alexander vT,2,"January 27, 2020",0,Ich habe ein Ticket gekauft in der Erwartung es am nächsten Tag einzulösen. Stattdessen galt es sofort. Allerdings würde dies nirgends im Bestellprozess erwähnt... Einfach schlechte Bedienbarkeit
15,Everyone Smiles,2,"February 15, 2020",0,"Ich kann nicht mehr nach Verbindungen suchen. Mir wird, egal ob im Wlan oder übers Mobile Netz, die ganze Zeit ein Verbindungsfehler angezeigt und dass ich auf die Aktualität des Fahrpläne achten soll mir dem Hinweis das der bis 19.12.17 gütig ist, wir aber Grade November 2017 haben."
16,LG E400,1,"December 22, 2019",0,Warum wird das Anschluss Ticket nicht mehr angeboten?!
