,name,rating,date,upvotes,review
0,Quark Proton,1,"May 8, 2020",25,"Quando interface was simple, easy, and straightforward. This one is too much for nothing better. It would have been better if the Quando was renamed after this one but not disable a very well done and easy to use app like Quando. Return Quando, was Much better.(also its Confusing, to have the map as a background, and to write the addresses (from- to) everytime the screen locks, everytime the screen locks, one has to make a new input to find the place instead of of doing this once)"
1,Mo Moazzen,1,"May 31, 2020",3,"It's not user friendly and even The information was wrong on 31 of May 2020 at 1 o'clock in the morning... All ubahns were closed in Wien but it said U3 coming in 5 minutes, I was on the street and app didn't give me even the night line buses informations. And all people around me looking for night line buses..."
2,Nikola Rakas,1,"June 7, 2020",1,The app keeps showing wrong arrival times. It doesn't match with the actual times that are shown on the displays in the stations. Therefore recently unreliable if you're trying to plan your route ahead.
3,Tahnee Nebauer,2,"May 4, 2020",14,"Not user friendly at all. Way too much on the screen at all times; it's very difficult to see the information you actually want/need. I appreciate the obvious effort the devs put into it, but it urgently needs streamlining. The wonderful thing about Qando was how simple and intuitive it was."
4,Benedek Tomasik,1,"June 13, 2020",0,"I try to buy a ticket with my mastercard revolut card, it asks me to confirm in the revolut app, I do it, revolut says I can go back to the merchant site, I go back to the WienMobil app and it forgets that I was buying a ticket amd nothing happens"
5,Alabina Ali,2,"May 19, 2020",2,"Quando was much more better! Interface in this app is so bad, to colorful, and the most important there are no lines of S-Bahn!!!"
6,Christoph Hinterleitner,3,"April 29, 2020",7,"Quando App was so much better. Also, in a mot of Stations and Lines it mislabels directions so you have duplicate names, like Tram 41 only having the Pötzleinsdorf label for both directions."
7,Kenjiru,1,"May 14, 2020",0,"I can no longer see my annual ticket in the app. After a lot of searching, I found a way to download the invoices from the website."
8,Christoph K,1,"June 9, 2020",0,"As long as real time data doesn't work, this will not be a suitable qando replacement"
9,Tammi Tantani,1,"April 23, 2020",0,The app doesn't work properly on Huawei...
10,Bernhard Frick,2,"February 18, 2020",29,"qando took not even a second to open and a single tap on the nearby stops to gets me the information I need. WienMobil takes about 4 to 5 seconds to load, and then requires to tap on a map and a swipe up to see the departure times I am looking for. The reload button of the favorites widget is hard to reach as a left-hander, so I preferred opening the app (left-hander option to swap placement?). I get that there is no way around retiring qando, so PLEASE make it start faster and reduce TTI!"
11,sohail ahmad,1,"February 15, 2020",25,"Worst ever app. After filling in all the information and entering the card number, it kept on processing the payment for 20minutes, yes 20 minutes and then the app crashed. It takes only a few seconds on any other app/website to process any transaction. I got a message from my bank that the amount of 8 Euros has been deducted, but still no ticket issued. There is only one word for this app 'PATHETIC' 😡"
12,Dragan Nikolic,2,"February 23, 2020",17,"Painful experience. I get notifications about closed routes in German, even though I chose English as my language. You can't select or copy those notification so there's no way of translating them. The WienMobil app never stays logged in and purchasing a ticket is one of the worst exepriences ever. You can't save your credit card, paying via PayPal takes forever and sometimes they charge the account without giving me the ticket. Very bad exeprience."
13,Tolga Cakiroglu,3,"March 8, 2020",7,"When I open the app, it does not load my favoruites. But then from the left menu, I open favoruites page, then go back map page, it loads the favoruites. Another problem is visually. There are just too much white in the design, that it is hard to focus on what I am looking at or doing."
14,Oliver Landsmann,3,"March 3, 2020",1,"It's ok, takes a little to get used to it. One painful thing is that when you add a stop to your favorites and the bus has no live department times it always shows up as having no times at all. When you look at the stop it shows the scheduled times."
15,Marsid Nuho,1,"June 10, 2020",0,AWFUL! Route calculation says there is Ubahn running all night and you arrive to the station and they're closing down! AWFUL! NOT TRUSTWORTHY!
16,Peter Angelov,1,"June 12, 2020",1,I'm so sorry to say this but this app has one of the worst user experience I ever seen. I hope it will improve over time.
17,Anna T.,2,"February 21, 2020",6,Qando had a sharing feature one could use to send their friend their route or suggest a journey which I can't find here. It was very convenient for locals and visitors alike. Please add this feature.
18,nicole zayac,1,"February 18, 2020",21,"Quando is 10000x easier &amp; better. User interface is too crowded looking. When all you need is the monitor &amp; route info, all of the other stuff is so unnecessary to have on the screen."
19,dK dU,1,"March 7, 2020",3,Functionality is bad: Setting a different walking speed has no impact on travel time. Own car is slower than taxi or car sharing (???). Quando was and is better (sadly). I tested it for 2 minutes.
20,Viliam Cigan,3,"March 14, 2020",0,It takes circa 90 sec ( loading times) to buy a ticket. Some other apps make it in 5 seconds. Why is the difference so big?
21,Alex Popescu,2,"February 13, 2020",2,"Nice app, interaction, info etc. However, you cannot edit personal info! As typos may happen, editing them should not be a problem..."
22,Sam Edge,1,"March 14, 2020",4,"The idea is good, but please fix the following bugs: 1) i get always logged out of my account 2) i cannot see my yearly ticket because of some technical issue 3) the information on the map regarding Carsharing is not valid"
