,name,rating,date,upvotes,review
0,andrea merchan,3,"December 2, 2018",3,Is not as accurate as it must be.. and sometimes crashes
1,Andreina M,5,"September 22, 2019",1,Very helpful accurate info.
2,Alagie Sonko,5,"November 19, 2018",0,This app is very good
3,Daniel Martín,1,"December 25, 2019",0,No puedes calcular rutas. No sirve de mucho
4,jay _r De leon 14,1,"January 13, 2019",1,antes mi encanta mucho esta app.. pero últimamente lo que está en la lista de mi favorito a veces se va... y el horario del interbus ya no me sale...
5,mara mara,3,"February 15, 2017",3,Falla demasiado. He perdido autobus muchas veces por estar equivocado por varios minutos
6,Yafil Mubarak,4,"September 22, 2016",0,Satisfacción
7,Judith Munoz,2,"May 23, 2016",2,"Too slow all the time, every time"
8,ROMAN GARCIA,1,"March 7, 2019",0,"no sirve, hay que conocer las líneas antes de utilizarla"
9,Robert Clarke,5,"February 8, 2016",0,Love it
10,Julio Verdejo,5,"January 8, 2016",0,La mejor que he encontrado para la EMT
11,Matthew Fair,3,"October 28, 2015",1,Pretty good
12,Humberto Ramos,1,"April 22, 2016",0,Muy imprecisa
13,A Google user,5,"January 11, 2015",0,Muy buena
14,Amir Salach,5,"December 2, 2014",0,Really clean UI
15,Karim Benaddi,4,"December 2, 2014",0,time table for md transport
16,Diana didi,5,"August 10, 2014",0,Muy buena
17,Andrés Alonso,5,"October 5, 2014",0,Muy buena y efectiva.
18,A Google user,5,"April 2, 2014",0,Great!
19,Alfredo Barral,3,"January 29, 2014",0,Widgets
20,Marcelino Ortegon,4,"February 6, 2014",0,good
21,Javier Garcia,3,"January 11, 2013",2,Solía funcionar bien
22,A Google user,3,"July 27, 2012",1,Util
23,A Google user,2,"March 22, 2012",2,Fixear
24,Andrew Walker,3,"July 14, 2017",1,You can't always rely on it but OK in general.
25,A Google user,5,"July 7, 2017",0,"Funciona perfecta, muchas gracias!"
26,Sho Lar,2,"July 29, 2016",0,Y
27,Raj Kumar Jha,5,"December 2, 2014",0,cool
