,name,rating,date,upvotes,review
0,Carlos,1,"October 19, 2019",5,"The schedules are usually not updated, it will cause you to lose buses, better check the actual Ctrm website instead. Absolute garbage."
1,joel pandacan,5,"August 18, 2019",5,easy to use and accurate information... love it
2,Professor Hodgeson,1,"January 27, 2020",1,"Decir que es pésima sería ser generoso; esta aplicación es simple y llanamente basura. Las horas que indica son a menudo erróneas, otras cambian sin motivo y los autobuses no pasan y otras directamente no indica ninguna hora. Es mejor ir a una parada a cualquier hora que según las indicaciones de este intento fallido de aplicación."
3,Zerø Tesla,2,"January 29, 2020",0,"No es precisa y es poco fiable, aunque casi siempre se aproxima a la hora a la que llega el bus."
4,Natty VonBatts,3,"November 9, 2019",0,Needs improvement.
5,Sergioxlmao,5,"August 19, 2019",2,Vuuamos
6,Paula Vildósola,5,"June 11, 2019",4,Muy buena aplicación y fácil de usar. Mejora con cada actualización. Me gustaría que hubiera una opción de mostrar una ruta cada vez que quieres ir a un sitio y no sabes cómo.
7,Diego Poncelas,3,"May 30, 2019",2,"Me gustaría una forma de eliminar la publicidad, aunque fuera pagando"
8,eric amon,5,"July 13, 2019",0,Very nice
9,Patry Lanza,3,"February 20, 2019",8,"El 70% de las veces que la miro me sale que no hay datos, el otro 25% me engaña sobre cuanto tiempo queda y un 5% de las veces funciona bien"
10,Raul Freire Utrera,2,"February 16, 2019",8,Como te fíes de los horarios de la aplicación llegas tarde a todos lados
11,Marcos Mora,1,"January 29, 2019",2,No vale absolutamente para nada el sistema de tiempo real de los autobuses. Pone que llega en 1 minuto y de repente salta a 30 minutos.
12,Sonia Ravenclaw,2,"January 10, 2019",2,"Muchas veces no funciona y pone que no tienen datos, además no salen todos los buses que pasan por las paradas y nunca sabes cuando pasan."
13,Irene Andrieu,2,"December 4, 2018",1,¿Alguien puede explicarme por qué la aplicación apenas funciona? El 85% de las veces que la miro no va. Era una buena app pero ahora ya no sé que decir.
14,A Google user,5,"September 17, 2018",4,"Estupenda, la mejor app de transporte de Madrid. Y además te avisa cuando la tarjeta va a caducar. Perfecta"
15,A Google user,5,"October 23, 2018",1,"Muy buena, despues de usarla durante 7 años cada día mejor y lo del mapa es un puntazo. Seguir asi"
16,Vicktor Sanc,5,"September 3, 2018",1,Muy buena aplicación.
17,Javier Clemente,3,"August 8, 2018",1,"Estaría bien que pudiese leer la tarjeta transporte por NFC. A veces da 
error al introducir el código"
18,megamax hxd,4,"August 11, 2018",1,"esta bien pero sigue fallando a veces en los tiempos de llegada de los 
buses, por lo de mas muy bien"
19,Beatrice Chinye- Biose,5,"April 24, 2018",3,I think this is brilliant
20,Emma Wood,2,"March 18, 2018",1,"Estos días va muy mal, si no da el tiempo incorrecto, no funciona (errores) No puedes tener confianza si vives lejos del centro"
21,Israel Segura,1,"February 22, 2018",0,"Ponéis el tiempo de espera de los buses cuando OS sale de las pelotas, y cuando lo poneis no pasa a su hora o llega 15m más tarde , una porquería..."
